struct(file)	field	rust_ownership	zig_allocator	who_frees	notes
AppState(src/app/state.rs)	terminals: HashMap<TerminalId, TerminalState>	owned	gpa (state gpa)	AppState.deinit / remove_terminal	Long-lived session map; values own strings/maps, freed recursively on terminal close.
AppState(src/app/state.rs)	pane_id_aliases: HashMap<u32, PaneId> / public_pane_id_aliases: HashMap<String, PaneId>	owned	gpa	AppState.deinit / alias removal	String keys duped into gpa; freed when alias removed (remove_alias_shadowed_by_new_pane).
AppState(src/app/state.rs)	workspaces: Vec<Workspace>	owned	gpa	AppState.deinit / close_workspace	Workspace.deinit frees tabs, panes, cached git metadata recursively.
AppState(src/app/state.rs)	request_clipboard_write: Option<Vec<u8>>	owned	gpa	consumer (event loop) after handling	Ownership transfer: state hands buffer to App loop; consumer frees, then sets null.
AppState(src/app/state.rs)	name_input / theme_name / update_install_command / default_shell: String	owned	gpa	AppState.deinit / on replace	Small mutable strings; free old value on assignment (no Rust drop to do it).
AppState(src/app/state.rs)	collapsed_space_keys: HashSet<String>	owned	gpa	AppState.deinit	Persisted UI state; keys duped from snapshot load.
AppState(src/app/state.rs)	worktree_create/open/remove: Option<WorktreeCreateState/...>	owned	gpa	AppState on dialog close	Modal dialog state with input Strings and Vec<candidate> lists; freed when modal closes.
AppState(src/app/state.rs)	view: ViewState (workspace_card_areas, tab_hit_areas, pane_infos, split_borders Vecs)	owned	arena-per-frame	frame arena reset	Rebuilt every compute_view(); never outlives a frame. Zig: build into per-frame arena, reset after render.
AppState(src/app/state.rs)	pending_agent_notifications: HashMap<PaneId, PendingAgentNotification>	owned	gpa	AppState on delivery/close	Values contain message Strings.
AppState(src/app/state.rs)	cjk_ime_agents / integration_recommendations / agent_manifest_summaries / integration_install_messages / plugin_command_logs: Vec<...>	owned	gpa	AppState.deinit / on refresh	Config/status caches replaced wholesale; free old Vec + element strings on refresh.
AppState(src/app/state.rs)	installed_plugins: InstalledPluginRegistry	owned	gpa	AppState.deinit	Plugin records own path/name strings.
AppState(src/app/state.rs)	plugin_panes: HashMap<PaneId, PluginPaneRecord>	owned	gpa	AppState on pane close	Must be removed in same mutation as pane close or dangles (UAF-risk pairing).
AppState(src/app/state.rs)	pane_graphics_layers: HashMap<PaneId, PaneGraphicsLayer>	owned	gpa	AppState on layer clear/pane close	PaneGraphicsLayer.data: Vec<u8> is large image payload; free eagerly, not at session end.
AppState(src/app/state.rs)	pane_graphics_streams: HashMap<PaneId, String>	owned	gpa	AppState on stream end	Owner token strings.
AppState(src/app/state.rs)	popup_pane: Option<PopupPaneState>	owned	gpa	AppState on popup close	Session-modal pane state.
AppState(src/app/state.rs)	terminal_runtime_shutdowns: Vec<TerminalId>	owned	gpa	drained by App runtime layer	Handoff queue from pure state to runtime layer; ids are values, Vec reused (clearRetainingCapacity).
PaneGraphicsLayer(src/app/state.rs:21)	data: Vec<u8>	owned	gpa	layer replace / pane close	Image bytes, potentially MBs; replace = free old + dupe new.
Workspace(src/workspace.rs:145)	id / custom_name / cached_git_branch: String	owned	gpa	Workspace.deinit / setter frees old	Identity strings live as long as the workspace.
Workspace(src/workspace.rs:145)	identity_cwd: PathBuf	owned	gpa	Workspace.deinit	Zig: []u8 path dup.
Workspace(src/workspace.rs:145)	cached_git_space: Option<GitSpaceMetadata> / worktree_space: Option<WorktreeSpaceMembership>	owned	gpa	Workspace.deinit / on git refresh	Refresh replaces whole value; free old first.
Workspace(src/workspace.rs:145)	metadata_tokens: MetadataTokens + metadata_token_sequences: HashMap<String, u64>	owned	gpa	Workspace.deinit	Token strings duped per report.
Workspace(src/workspace.rs:145)	public_pane_numbers: HashMap<PaneId, usize>	owned	gpa	Workspace.deinit	Value-only map; numbers never reused so entries persist past pane close.
Workspace(src/workspace.rs:145)	tabs: Vec<Tab>	owned	gpa	Workspace.deinit / close_tab	Tab.deinit frees layout tree + panes map.
Tab(src/workspace/tab.rs:38)	custom_name: Option<String>	owned	gpa	Tab.deinit	-
Tab(src/workspace/tab.rs:38)	layout: TileLayout (Node tree with Box<Node>)	owned	gpa (or node pool)	Tab.deinit / split-remove rebalance	Rust Box tree -> Zig *Node from gpa or a small node pool; recursive free on tab close and on pane removal rebalance.
Tab(src/workspace/tab.rs:38)	panes: HashMap<PaneId, PaneState>	owned	gpa	Tab.deinit / close_pane	PaneState is POD (TerminalId + bool); map storage only.
Tab(src/workspace/tab.rs:38)	events: mpsc::Sender<AppEvent>	Arc (channel handle)	single-owner queue + handle	App owns queue; Tab holds non-owning handle	Zig: one App-owned MPSC queue; Tab stores *EventQueue, no refcount. Queue must outlive all tabs (App deinit order).
Tab(src/workspace/tab.rs:38)	render_notify: Arc<Notify> / render_dirty: Arc<AtomicBool>	Arc	static-per-App (single owner)	App.deinit	Shared wakeup primitives -> plain *RenderSignal owned by App; threads must be joined before App.deinit (replaces Arc keep-alive).
PaneState(src/pane/state.rs:6)	attached_terminal_id / seen	owned (Copy)	inline value	n/a	No heap data; stays a plain struct.
TerminalState(src/terminal/state.rs:92)	cwd: PathBuf; terminal_title / manual_label / agent_name: Option<String>	owned	gpa	TerminalState.deinit / setter frees old	set_terminal_title replaces; Zig setter must free previous title.
TerminalState(src/terminal/state.rs:92)	agent_metadata: HashMap<String, AgentMetadata>	owned	gpa	TerminalState.deinit / metadata replace	Keys are source names; values own display strings.
TerminalState(src/terminal/state.rs:92)	metadata_tokens + hook_report_sequences / metadata_report_sequences: HashMap<String, u64>; metadata_token_sequence_sources: HashSet<String>	owned	gpa	TerminalState.deinit	Per-source sequence tracking; keys duped once per source.
TerminalState(src/terminal/state.rs:92)	suppressed_full_lifecycle_hook_reports / stale_full_lifecycle_hook_sessions: HashMap<String, ...>	owned	gpa	TerminalState.deinit / expiry sweep	stale sessions hold Vec of session refs with strings; sweep frees entries.
TerminalState(src/terminal/state.rs:92)	persisted_agent_session / pending_agent_resume_plan: Option<...>	owned	gpa	TerminalState.deinit / consumed on resume	Resume plan is take()-style ownership transfer to the spawn path; taker frees.
TerminalState(src/terminal/state.rs:92)	launch_argv: Option<Vec<String>>	owned	gpa	TerminalState.deinit	Duped argv for respawn/snapshot.
TerminalRuntimeRegistry(src/terminal/runtime_registry.rs:11)	runtimes: HashMap<TerminalId, TerminalRuntime>	owned	gpa	App runtime layer via shutdown()	Runtime removal must go through shutdown() (joins IO actor) before free; never free while reader thread live.
PaneRuntime(src/pane.rs:928)	terminal: Arc<PaneTerminal>	Arc (shared with detect task + IO callback)	gpa + refcount OR single-owner + join	last dropper (refcounted) or PaneRuntime.shutdown after task join	ghostty Terminal is FFI (ghostty_terminal_new/free). Recommended: single owner in PaneRuntime; shutdown() aborts+joins detect task and IO actor before ghostty_terminal_free. Top UAF risk.
PaneRuntime(src/pane.rs:928)	io: PaneRuntimeIo -> PtyIoActorHandle	owned handle to threads	gpa; threads own their buffers	shutdown() joins actor threads	Actor owns PTY master fd (OwnedFd unix / Box<dyn MasterPty> windows) and writer; fd closed only after reader+writer threads exit.
PaneRuntime(src/pane.rs:928)	child_pid / kitty_keyboard_flags / detection_content_seq / full_lifecycle_authority_active / child_wait_completed: Arc<Atomic*>	Arc	single shared block, gpa	PaneRuntime.deinit after all task joins	Collapse the 5 atomics into one heap PaneShared struct; atomics need no refcount once lifetime is join-bounded.
PaneRuntime(src/pane.rs:928)	reported_cwd: Arc<Mutex<Option<PathBuf>>>	Arc+Mutex	gpa, inside PaneShared	PaneRuntime.deinit	std.Thread.Mutex + owned []u8 path; writer (OSC7 callback) frees old value under lock.
PaneRuntime(src/pane.rs:928)	pending_release: Arc<Mutex<Option<PendingAgentRelease>>>	Arc+Mutex	gpa, inside PaneShared	consumer takes + frees	take()-under-lock ownership transfer.
PaneRuntime(src/pane.rs:928)	detect_reset_notify: Arc<Notify>	Arc	inside PaneShared	PaneRuntime.deinit	Condvar/futex-based signal; freed after detect task join.
PaneRuntime(src/pane.rs:928)	detect_handle: Option<AbortHandle>	owned	n/a (thread handle)	shutdown() aborts + joins	Zig: store std.Thread + cancellation flag; join before freeing PaneShared.
PaneTerminal/ghostty Terminal(src/ghostty/mod.rs:622)	raw: GhosttyTerminal	owned FFI handle	libghostty internal allocator	ghostty_terminal_free in deinit	Opaque C handle; Zig side never frees its internals directly.
PaneTerminal/ghostty Terminal(src/ghostty/mod.rs:622)	callback_state: Box<TerminalCallbackState>	owned (pinned Box)	gpa, address-stable	Terminal.deinit after ghostty_terminal_free	FFI userdata pointer into this allocation: must be a separate heap allocation (not inline in a movable struct) and outlive the raw handle. UAF risk if struct is moved/copied.
PaneTerminal/ghostty Terminal(src/ghostty/mod.rs:622)	kitty_fingerprints: Mutex<HashMap<u32, KittyImageFingerprintEntry>>	owned+Mutex	gpa	Terminal.deinit	Interior mutability -> Zig mutex + map, no change in ownership.
PtyIoActorHandle(src/pty/actor.rs:52)	data_tx / control_tx channels; accepting: Arc<Mutex<bool>>	Arc/channel	single-owner queues owned by actor; handle holds pointers	actor thread frees queues on exit after all senders detach	Zig: bounded MPSC ring (1024 Bytes msgs) owned by actor; handle validity tied to PaneRuntime lifetime (join before free).
PtyIoActor internals(src/pty/actor.rs:119)	writer: Arc<Mutex<Writer>>; reader; master fd	Arc	gpa, owned by actor threads	last exiting actor thread	Reader thread owns read buffer (fixed 64KiB scratch, pool or static per-thread); Bytes payloads gpa-owned, freed by consumer (ghostty write path).
SpawnedPty(src/pty/backend/unix.rs:7)	master_fd: OwnedFd; child: Box<dyn Child>	owned	fd is kernel resource; child in gpa	PaneRuntime shutdown (close fd, reap child)	Zig: posix.fd_t + child-process handle struct; preserve_for_handoff intentionally leaks fd to successor process.
ClientConnection(src/server/clients.rs:32)	keybindings: Option<Box<LiveKeybindConfig>>	owned Box	gpa	connection close	Per-client override; Box -> *LiveKeybindConfig from gpa.
ClientConnection(src/server/clients.rs:32)	raw_input: RawInputFramer	owned	gpa (internal grow buffer)	connection close	Stateful partial-escape buffer; grows with input, freed with connection.
ClientConnection(src/server/clients.rs:32)	render_state: ClientRenderState	owned	gpa	connection close / resize reset	Baseline frame (Vec<CellData> incl. per-cell symbol Strings); large; replaced per resize.
ClientConnection(src/server/clients.rs:32)	graphics_cache: HostGraphicsCache (3 HashMaps)	owned	gpa	connection close	Per-client Kitty state mirror.
ClientConnection(src/server/clients.rs:32)	staged_clipboard_files: Vec<PathBuf>	owned	gpa	connection close (also unlink temp files)	Owns both memory and on-disk temp files.
ClientConnection(src/server/clients.rs:32)	writer: Option<ClientWriter> (queues: VecDeque<Vec<u8>> + Option<Vec<u8>>)	owned handle; queue shared with writer thread	gpa; queue single-owner = writer thread	writer thread on exit; connection close signals + joins	ClientWriterQueue is Mutex+Condvar shared between server loop and writer thread; Zig: heap queue freed by whichever side detaches last, or (simpler) join writer thread on close then free. UAF risk if server frees while writer mid-send.
HeadlessServer(src/server/headless.rs:243)	app: App; clients: HashMap<u64, ClientConnection>	owned	gpa (root)	main() teardown	Root owner; deinit order: signal clients -> join writer threads -> shutdown runtimes -> free state.
HeadlessServer(src/server/headless.rs:243)	client_listener / client_socket_path / socket identity	owned	gpa + kernel fd	server shutdown (close + unlink socket)	Socket file must be unlinked on clean shutdown.
HeadlessServer(src/server/headless.rs:243)	terminal_attach_owners: HashMap<String, u64>	owned	gpa	server shutdown / attach release	String keys are terminal id strings.
HeadlessServer(src/server/headless.rs:243)	server_event_rx/tx: mpsc channel; should_quit: Arc<AtomicBool>	Arc/channel	single server-owned queue; static atomic	server shutdown after client threads join	should_quit -> plain static/heap atomic; client threads must not outlive server.
App(src/app/mod.rs:96)	event_tx/event_rx: mpsc<AppEvent>; api_rx: unbounded mpsc	channels	single App-owned queues (gpa nodes per msg)	App.deinit after producer threads join	AppEvent payloads (Strings, session refs, HashMaps in HookMetadataReported) are allocated by producer, freed by App loop after handling: strict produce-alloc/consume-free rule.
App(src/app/mod.rs:96)	event_hub: EventHub (Arc<Mutex<Vec<(u64, EventEnvelope)>>>)	Arc+Mutex	gpa ring, single owner App, mutex-guarded	App.deinit; ring eviction frees oldest	MAX_EVENTS=512 bounded ring; API threads access via *EventHub, must stop before App.deinit.
App(src/app/mod.rs:96)	git_status_cache / pending_api_worktree_* maps; overlay_panes; suppressed_repeat_keys	owned	gpa	App.deinit / entry expiry	Path-keyed caches; keys duped.
App(src/app/mod.rs:96)	session_save_thread: Option<JoinHandle>; detached_custom_command_children: Vec<Child>	owned	n/a / gpa	join on next save or deinit; children reaped	Snapshot bytes for save thread must be an owned copy (arena cloned then handed to thread which frees).
ApiServerHandle(src/api/server.rs:35)	_thread: JoinHandle; path: PathBuf; running: Arc<AtomicBool>	owned + Arc	gpa	handle deinit: set running=false, join, free	Rust Drop -> explicit deinit; join before freeing running flag.
ClientMessage/ServerMessage(src/protocol/wire.rs:308,599)	Input.data / ClipboardImage.data: Vec<u8>; AttachTerminal.terminal_id: String; InputEvents: Vec<...>	owned (deserialized)	arena-per-message	arena reset after dispatch	Decode each frame into a per-message arena; handlers must dupe into gpa anything that outlives dispatch (e.g. clipboard staging). Never store arena pointers in state.
FrameData/TerminalFrame(src/protocol/wire.rs:460,573)	cells: Vec<CellData> (symbol String each), hyperlinks: Vec<String>	owned	arena-per-render-frame	arena reset after encode+send	Built, serialized, discarded; classic per-frame arena. ClientRenderState baseline copy is the exception: duped into gpa.
SessionSnapshot tree(src/persist/snapshot.rs:16-140)	workspaces: Vec<WorkspaceSnapshot> -> tabs/panes maps, PaneHistorySnapshot.ansi: String, LayoutSnapshot Box tree	owned (serde)	arena-per-save/load	arena reset after write / after restore copies out	Save: build snapshot in arena, serialize, reset. Load: parse in arena, materialize AppState into gpa, reset. ansi history strings can be MBs.
AgentDetection(src/detect/mod.rs:24)	all fields	owned (Copy)	inline value	n/a	Pure value struct; stays POD in Zig.
ManifestCache(src/detect/manifest.rs:134,261)	static MANIFEST_CACHE: OnceLock<RwLock<ManifestCache>>; LoadedManifest{manifest, compiled_rules, warnings}	static + RwLock, values owned	static singleton, gpa-backed, RwLock	reload swaps: old generation freed after last reader drops	Rules/regex/strings owned by cache generation. Zig: rwlock + generation pointer; reload builds new gen in gpa, frees old after write-lock swap (readers hold lock across whole evaluation - no lock-free readers, so free-under-swap is safe).
AgentManifest/ManifestRule/ManifestGate(src/detect/manifest.rs:140-200)	id/aliases/rules Vec<String>, nested gate Vecs, compiled regex	owned	gpa (per cache generation)	generation free on reload	Regex compilation allocates; tie compiled artifacts to the same generation lifetime.
DetectionExplain/EvaluatedRule/RuleEvidence(src/detect/manifest.rs:28,102,112)	Vec<String> evidence, region_preview String	owned	arena-per-explain-request	arena reset after API response encoded	Diagnostic output only; never stored.
ManifestUpdateStatus(src/detect/manifest_update.rs)	cached status strings	owned	gpa	AppState.deinit / on update check	Cached in AppState.agent_manifest_update_status.
Config(src/config/model.rs:289) + Keybinds(src/config/keybinds.rs:312) + LiveKeybindConfig	nested config structs, Strings, Vec<String> bindings (pattern row: also ThemeConfig, SoundConfig, ToastConfig, AgentsSidebarConfig, SpacesSidebarConfig, WorktreesConfig, ExperimentalConfig)	owned (serde)	arena-per-config-load	old config arena freed after new one swapped in	Config is read-mostly and reloaded wholesale (request_reload_config): load whole file into one arena, swap root pointer, destroy previous arena. No per-field frees.
HostGraphicsCache(src/kitty_graphics.rs:129)	images/placements/sources HashMaps; static LOCAL_HOST_GRAPHICS: OnceLock<Mutex<...>>	owned / static Mutex	gpa; process-lifetime static	connection close (per-client) / never (local static)	Static local cache is deliberate process-lifetime state; register in leak-check skip list.
EventHub payloads(src/api/event_hub.rs:2)	events: Vec<(u64, EventEnvelope)>	owned inside Arc<Mutex>	gpa	ring eviction (MAX_EVENTS) frees oldest envelope	Envelope JSON strings owned by hub; subscribers get copies serialized per-request into request arena.
